,,Q1,Q2,Q3,Q4,,
 ,  ,"[0.379,0.626]","(0.626,0.682]","(0.682,0.735]","(0.735,0.903]",,
,N obs,1845,1844,1844,1845,,
,%,25.01,24.99,24.99,25.01,,Interquartile difference
Jan_tmin_18,Mean,9.75,9.72,9.7,9.7,,-0.05
,Std.Dev,0.28,0.26,0.25,0.25,,-0.03
Feb_tmin_18,Mean,13.77,13.76,13.8,13.92,,0.15
,Std.Dev,0.57,0.56,0.55,0.59,,0.02
Mar_tmin_18,Mean,17.89,17.94,18.05,18.26,,0.37
,Std.Dev,0.91,0.9,0.88,0.89,,-0.02
Apr_tmin_18,Mean,21.85,22.12,22.36,22.7,,0.85
,Std.Dev,1.22,1.27,1.34,1.34,,0.12
Jan_tmax_18,Mean,22.56,22.45,22.33,22.23,,-0.33
,Std.Dev,0.48,0.46,0.46,0.4,,-0.08
Feb_tmax_18,Mean,27.02,27.01,26.96,26.99,,-0.03
,Std.Dev,0.44,0.49,0.5,0.49,,0.05
Mar_tmax_18,Mean,32.53,32.63,32.66,32.81,,0.28
,Std.Dev,0.64,0.73,0.74,0.72,,0.08
Apr_tmax_18,Mean,35.36,35.62,35.7,36.04,,0.68
,Std.Dev,1.36,1.51,1.57,1.5,,0.14
Weed severity,Mean,2.77,2.71,2.69,2.69,,-0.08
,Std.Dev,0.74,0.76,0.77,0.73,,-0.01
Disease severity,Mean,1.53,1.45,1.45,1.45,,-0.08
,Std.Dev,0.73,0.69,0.7,0.69,,-0.04
Insect severity,Mean,1.62,1.58,1.63,1.59,,-0.03
,Std.Dev,0.76,0.74,0.78,0.76,,0
N,Mean,102.49,121.15,141.3,157.18,,54.69
,Std.Dev,33.7,29.75,30.55,28.12,,-5.58
Phosphate,Mean,50.45,56.4,62,67.01,,16.56
,Std.Dev,16.49,17.8,19.28,20.36,,3.87
Long duration variety,Mean,0.44,0.54,0.56,0.54,,0.1
,Std.Dev,0.5,0.5,0.5,0.5,,0
Irrigatiom times,Mean,2.12,2.23,2.37,2.48,,0.36
,Std.Dev,0.76,0.72,0.73,0.78,,0.02
Gender,Mean,0.03,0.03,0.02,0.04,,0.01
,Std.Dev,0.16,0.16,0.16,0.19,,0.03
Annual temperature (2017),Mean,25.88,26.07,26.12,26.16,,0.28
,Std.Dev,0.36,0.28,0.25,0.22,,-0.14
Annual precipitation (2017),Mean,991.18,934.92,943.26,947.17,,-44.01
,Std.Dev,299.28,251.02,232.9,223.86,,-75.42
Elevation (masl),Mean,62.12,67.84,68.19,73.33,,11.21
,Std.Dev,21.77,21.74,20.41,19.81,,-1.96
Distance to market (km),Mean,4.34,4.45,4.59,4.17,,-0.17
,Std.Dev,3.8,3.82,4.22,4.17,,0.37
Plot size (ha),Mean,0.3,0.27,0.24,0.17,,-0.13
,Std.Dev,0.31,0.28,0.25,0.2,,-0.11
Education,Mean,1.57,1.53,1.5,1.36,,-0.21
,Std.Dev,1.37,1.37,1.31,1.24,,-0.13
Marginalized caste,Mean,0.75,0.74,0.75,0.79,,0.04
,Std.Dev,0.43,0.44,0.43,0.41,,-0.02
Plot owned,Mean,0.8,0.83,0.81,0.79,,-0.01
,Std.Dev,0.4,0.38,0.39,0.41,,0.01
Soil nitrogen,Mean,1.63,1.6,1.59,1.59,,-0.04
,Std.Dev,0.23,0.21,0.2,0.21,,-0.02
Soil sand,Mean,30.59,30,29.63,29.05,,-1.54
,Std.Dev,3.1,3.03,2.78,2.92,,-0.18
Soil organic carbon,Mean,13.61,12.77,12.49,12.02,,-1.59
,Std.Dev,2.18,2.35,2.24,2.27,,0.09
