"","estimate","std.err","contrast","outcome"
"Local - HD2967",-0.655615420585185,0.0676404155200397,"Local - HD2967","Y.1"
"PBW343 - HD2967",-0.244375926126394,0.0678111883136917,"PBW343 - HD2967","Y.1"
"UP262 - HD2967",-0.559161409679728,0.0679463659421521,"UP262 - HD2967","Y.1"
"LOK1 - HD2967",-0.619649984682503,0.0670259067738909,"LOK1 - HD2967","Y.1"
"PBW154 - HD2967",-0.447568737474677,0.0685148272658928,"PBW154 - HD2967","Y.1"
"Kedar - HD2967",-0.52504498951019,0.0677217424580124,"Kedar - HD2967","Y.1"
"SUPER303 - HD2967",-0.0780237322917641,0.0673491396321456,"SUPER303 - HD2967","Y.1"
"PBW502 - HD2967",-0.212552304655622,0.0693344750382518,"PBW502 - HD2967","Y.1"
"HD2733 - HD2967",-0.241088828964928,0.0700986765574537,"HD2733 - HD2967","Y.1"
"HUW234 - HD2967",-0.627368541007299,0.0697142884733071,"HUW234 - HD2967","Y.1"
"RR21 - HD2967",-0.409608270930819,0.068384385152608,"RR21 - HD2967","Y.1"
