term,estimate,std.error
Herbicidename_cat_unorderedManual,0.178***,-0.025
Herbicidename_cat_unorderedManual_herb,0.188***,-0.041
"Herbicidename_cat_unordered2,4-D",0.284***,-0.026
Herbicidename_cat_unorderedSulfosulfuronMetsulfuron,0.375***,-0.03
Sowing_Date_Schedule_unorderedT4_15Dec,0.241***,-0.034
Sowing_Date_Schedule_unorderedT3_30Nov,0.401***,-0.035
Sowing_Date_Schedule_unorderedT2_20Nov,0.597***,-0.039
Sowing_Date_Schedule_unorderedT1_10Nov,0.706***,-0.052
G.q5305_irrigTimes_cat_unorderedTwo,0.361***,-0.029
G.q5305_irrigTimes_cat_unorderedThree,0.679***,-0.032
G.q5305_irrigTimes_cat_unorderedFourplus,1.293***,-0.05
D.q410_varName_unorderedLocal,-0.354***,-0.076
D.q410_varName_unorderedPBW343,-0.215***,-0.032
D.q410_varName_unorderedUP262,-0.429***,-0.034
D.q410_varName_unorderedLOK1,-0.390***,-0.044
D.q410_varName_unorderedPBW154,-0.297***,-0.037
D.q410_varName_unorderedKedar,-0.301***,-0.046
D.q410_varName_unorderedSUPER303,-0.140**,-0.043
D.q410_varName_unorderedPBW502,-0.260***,-0.045
D.q410_varName_unorderedHD2733,-0.118,-0.072
D.q410_varName_unorderedHUW234,-0.471***,-0.056
D.q410_varName_unorderedRR21,-0.493***,-0.072
