part,term,statistic,(1),(2),(3),(4)
estimates,(Intercept),estimate,16.946***,15.365***,15.483***,15.252***
estimates,(Intercept),std.error,(1.284),(1.196),(1.195),(1.389)
estimates,Herbicidename_cat_unorderedManual,estimate,0.180***,,,
estimates,Herbicidename_cat_unorderedManual,std.error,(0.024),,,
estimates,Herbicidename_cat_unorderedManual_herb,estimate,0.196***,,,
estimates,Herbicidename_cat_unorderedManual_herb,std.error,(0.038),,,
estimates,"Herbicidename_cat_unordered2,4-D",estimate,0.290***,,,
estimates,"Herbicidename_cat_unordered2,4-D",std.error,(0.024),,,
estimates,Herbicidename_cat_unorderedSulfosulfuronMetsulfuron,estimate,0.377***,,,
estimates,Herbicidename_cat_unorderedSulfosulfuronMetsulfuron,std.error,(0.029),,,
estimates,Jan_tmin_18,estimate,0.057,0.030,0.036,-0.028
estimates,Jan_tmin_18,std.error,(0.047),(0.043),(0.043),(0.046)
estimates,Feb_tmin_18,estimate,-0.296***,-0.170**,-0.192***,-0.263***
estimates,Feb_tmin_18,std.error,(0.063),(0.058),(0.058),(0.063)
estimates,Mar_tmin_18,estimate,0.098*,-0.035,-0.031,0.061
estimates,Mar_tmin_18,std.error,(0.049),(0.045),(0.045),(0.048)
estimates,Apr_tmin_18,estimate,-0.052**,-0.043*,-0.037*,-0.020
estimates,Apr_tmin_18,std.error,(0.019),(0.018),(0.018),(0.020)
estimates,Jan_tmax_18,estimate,-0.298***,-0.287***,-0.290***,-0.193***
estimates,Jan_tmax_18,std.error,(0.051),(0.047),(0.047),(0.051)
estimates,Feb_tmax_18,estimate,0.049,-0.031,-0.023,0.029
estimates,Feb_tmax_18,std.error,(0.071),(0.064),(0.064),(0.069)
estimates,Mar_tmax_18,estimate,-0.411***,-0.285***,-0.275***,-0.358***
estimates,Mar_tmax_18,std.error,(0.048),(0.045),(0.045),(0.048)
estimates,Apr_tmax_18,estimate,0.166***,0.164***,0.156***,0.141***
estimates,Apr_tmax_18,std.error,(0.022),(0.021),(0.020),(0.022)
estimates,I.q5505_weedSeverity_num,estimate,-0.086***,-0.066***,-0.064***,-0.070***
estimates,I.q5505_weedSeverity_num,std.error,(0.012),(0.011),(0.011),(0.011)
estimates,I.q5509_diseaseSeverity_num,estimate,-0.007,-0.018,-0.018,-0.008
estimates,I.q5509_diseaseSeverity_num,std.error,(0.015),(0.013),(0.013),(0.014)
estimates,I.q5506_insectSeverity_num,estimate,0.014,0.011,0.004,0.006
estimates,I.q5506_insectSeverity_num,std.error,(0.014),(0.012),(0.012),(0.013)
estimates,Nperha,estimate,0.001***,0.001***,0.001***,0.001***
estimates,Nperha,std.error,(0.000),(0.000),(0.000),(0.000)
estimates,P2O5perha,estimate,0.002***,0.003***,0.003***,0.003***
estimates,P2O5perha,std.error,(0.000),(0.000),(0.000),(0.000)
estimates,variety_type_NMWV,estimate,0.262***,0.277***,0.276***,
estimates,variety_type_NMWV,std.error,(0.020),(0.019),(0.019),
estimates,G.q5305_irrigTimes,estimate,0.376***,0.362***,,0.363***
estimates,G.q5305_irrigTimes,std.error,(0.012),(0.011),,(0.012)
estimates,Sowing_Date_Schedule_rating_num,estimate,0.187***,,0.192***,0.186***
estimates,Sowing_Date_Schedule_rating_num,std.error,(0.010),,(0.009),(0.010)
estimates,A.q111_fGenderdum,estimate,-0.073,-0.086+,-0.078+,-0.082+
estimates,A.q111_fGenderdum,std.error,(0.048),(0.046),(0.046),(0.048)
estimates,temp,estimate,-0.004,0.001,-0.001,-0.034
estimates,temp,std.error,(0.028),(0.026),(0.026),(0.030)
estimates,precip,estimate,0.000**,0.000**,0.000**,0.000
estimates,precip,std.error,(0.000),(0.000),(0.000),(0.000)
estimates,wc2.1_30s_elev,estimate,-0.001,0.000,0.000,0.000
estimates,wc2.1_30s_elev,std.error,(0.001),(0.001),(0.001),(0.001)
estimates,M.q708_marketDistance,estimate,-0.005*,-0.003,-0.004+,-0.004+
estimates,M.q708_marketDistance,std.error,(0.002),(0.002),(0.002),(0.002)
estimates,C.q306_cropLarestAreaHA,estimate,0.051,0.073*,0.070*,0.051
estimates,C.q306_cropLarestAreaHA,std.error,(0.036),(0.030),(0.030),(0.031)
estimates,A.q112_fEdu_new_num,estimate,-0.001,0.005,0.006,0.003
estimates,A.q112_fEdu_new_num,std.error,(0.007),(0.006),(0.006),(0.007)
estimates,Caste_marginalized,estimate,-0.024,-0.036+,-0.033+,-0.032
estimates,Caste_marginalized,std.error,(0.021),(0.019),(0.019),(0.020)
estimates,Plot_owned,estimate,0.057**,0.056**,0.058**,0.053*
estimates,Plot_owned,std.error,(0.022),(0.021),(0.021),(0.022)
estimates,nitrogen_0.5cm,estimate,0.036,0.123*,0.130*,0.133*
estimates,nitrogen_0.5cm,std.error,(0.057),(0.053),(0.053),(0.056)
estimates,sand_0.5cm,estimate,0.001,0.001,0.000,0.011**
estimates,sand_0.5cm,std.error,(0.004),(0.003),(0.003),(0.004)
estimates,soc_5.15cm,estimate,0.009+,0.009+,0.008+,0.006
estimates,soc_5.15cm,std.error,(0.005),(0.005),(0.005),(0.005)
estimates,Sowing_Date_Schedule_unorderedT4_15Dec,estimate,,0.251***,,
estimates,Sowing_Date_Schedule_unorderedT4_15Dec,std.error,,(0.031),,
estimates,Sowing_Date_Schedule_unorderedT3_30Nov,estimate,,0.445***,,
estimates,Sowing_Date_Schedule_unorderedT3_30Nov,std.error,,(0.031),,
estimates,Sowing_Date_Schedule_unorderedT2_20Nov,estimate,,0.629***,,
estimates,Sowing_Date_Schedule_unorderedT2_20Nov,std.error,,(0.034),,
estimates,Sowing_Date_Schedule_unorderedT1_10Nov,estimate,,0.762***,,
estimates,Sowing_Date_Schedule_unorderedT1_10Nov,std.error,,(0.046),,
estimates,Weedmanaged,estimate,,0.262***,0.261***,0.252***
estimates,Weedmanaged,std.error,,(0.019),(0.019),(0.020)
estimates,G.q5305_irrigTimes_cat_unorderedTwo,estimate,,,0.349***,
estimates,G.q5305_irrigTimes_cat_unorderedTwo,std.error,,,(0.026),
estimates,G.q5305_irrigTimes_cat_unorderedThree,estimate,,,0.648***,
estimates,G.q5305_irrigTimes_cat_unorderedThree,std.error,,,(0.028),
estimates,G.q5305_irrigTimes_cat_unorderedFourplus,estimate,,,1.258***,
estimates,G.q5305_irrigTimes_cat_unorderedFourplus,std.error,,,(0.043),
estimates,I.q5502_droughtSeverity_num,estimate,,,0.010,
estimates,I.q5502_droughtSeverity_num,std.error,,,(0.010),
estimates,D.q410_varName_unorderedLocal,estimate,,,,-0.391***
estimates,D.q410_varName_unorderedLocal,std.error,,,,(0.073)
estimates,D.q410_varName_unorderedPBW343,estimate,,,,-0.229***
estimates,D.q410_varName_unorderedPBW343,std.error,,,,(0.029)
estimates,D.q410_varName_unorderedUP262,estimate,,,,-0.453***
estimates,D.q410_varName_unorderedUP262,std.error,,,,(0.032)
estimates,D.q410_varName_unorderedLOK1,estimate,,,,-0.437***
estimates,D.q410_varName_unorderedLOK1,std.error,,,,(0.040)
estimates,D.q410_varName_unorderedPBW154,estimate,,,,-0.318***
estimates,D.q410_varName_unorderedPBW154,std.error,,,,(0.034)
estimates,D.q410_varName_unorderedKedar,estimate,,,,-0.324***
estimates,D.q410_varName_unorderedKedar,std.error,,,,(0.042)
estimates,D.q410_varName_unorderedSUPER303,estimate,,,,-0.142***
estimates,D.q410_varName_unorderedSUPER303,std.error,,,,(0.040)
estimates,D.q410_varName_unorderedPBW502,estimate,,,,-0.269***
estimates,D.q410_varName_unorderedPBW502,std.error,,,,(0.041)
estimates,D.q410_varName_unorderedHD2733,estimate,,,,-0.098
estimates,D.q410_varName_unorderedHD2733,std.error,,,,(0.068)
estimates,D.q410_varName_unorderedHUW234,estimate,,,,-0.495***
estimates,D.q410_varName_unorderedHUW234,std.error,,,,(0.054)
estimates,D.q410_varName_unorderedRR21,estimate,,,,-0.510***
estimates,D.q410_varName_unorderedRR21,std.error,,,,(0.068)
gof,Num.Obs.,,6299,7378,7378,6714
gof,R2,,0.421,0.410,0.413,0.411
gof,R2 Adj.,,0.418,0.407,0.411,0.408
gof,AIC,,12612.0,14759.0,14720.1,13414.6
gof,BIC,,12841.4,14993.8,14954.9,13693.9
gof,Log.Lik.,,-6271.985,-7345.490,-7326.031,-6666.280
gof,F,,142.444,159.523,161.581,119.581
gof,RMSE,,0.65,0.65,0.65,0.65
