, ,  ,"[0.219,0.365]","(0.365,0.412]","(0.412,0.462]","(0.462,0.607]",,,
1,,N obs,1575,1575,1574,1575,,,
2,,%,25,25,24.99,25,,,
3,Jan_tmin_18,mean_na,0.41,-0.14,-0.19,-0.08,,,-0.49
4,,sd_na,1.28,0.96,0.83,0.7,,,-0.58
5,Feb_tmin_18,mean_na,0.87,0.03,-0.45,-0.45,,,-1.32
6,,sd_na,0.89,1.04,0.83,0.52,,,-0.37
7,Mar_tmin_18,mean_na,0.88,0.08,-0.48,-0.48,,,-1.36
8,,sd_na,0.82,1.06,0.83,0.52,,,-0.3
9,Apr_tmin_18,mean_na,0.63,0.25,-0.34,-0.53,,,-1.16
10,,sd_na,0.78,1.11,0.97,0.6,,,-0.18
11,Jan_tmax_18,mean_na,-0.26,-0.16,0.23,0.2,,,0.46
12,,sd_na,0.8,1.05,1.09,0.95,,,0.15
13,Feb_tmax_18,mean_na,0.68,0.05,-0.31,-0.41,,,-1.09
14,,sd_na,0.84,0.96,0.94,0.87,,,0.03
15,Mar_tmax_18,mean_na,0.81,0.17,-0.4,-0.58,,,-1.39
16,,sd_na,0.82,0.97,0.83,0.71,,,-0.11
17,Apr_tmax_18,mean_na,0.85,0.19,-0.47,-0.56,,,-1.41
18,,sd_na,0.61,0.93,0.91,0.81,,,0.2
19,I.q5505_weedSeverity_num,mean_na,0.04,-0.04,0.06,-0.07,,,-0.11
20,,sd_na,0.96,1.02,1,1.02,,,0.06
21,I.q5509_diseaseSeverity_num,mean_na,0.32,-0.03,-0.09,-0.2,,,-0.52
22,,sd_na,1.09,0.96,0.95,0.92,,,-0.17
23,I.q5506_insectSeverity_num,mean_na,0.19,-0.1,-0.09,-0.01,,,-0.2
24,,sd_na,1.04,0.94,0.97,1.03,,,-0.01
25,Nperha,mean_na,-0.23,-0.04,0.1,0.18,,,0.41
26,,sd_na,1.13,1.02,0.93,0.86,,,-0.27
27,P2O5perha,mean_na,-0.32,-0.09,0.08,0.32,,,0.64
28,,sd_na,1.05,0.98,0.9,0.95,,,-0.1
29,variety_type_NMWV,mean_na,-0.6,-0.21,0.15,0.65,,,1.25
30,,sd_na,0.8,0.98,0.99,0.77,,,-0.03
31,G.q5305_irrigTimes,mean_na,-0.08,-0.17,-0.13,0.38,,,0.46
32,,sd_na,1.07,1.03,0.89,0.9,,,-0.17
33,Sowing_Date_Schedule_rating_num,mean_na,-0.77,-0.18,0.22,0.73,,,1.5
34,,sd_na,0.81,0.91,0.81,0.81,,,0
35,A.q111_fGenderdum,mean_na,0.02,-0.02,0.01,-0.02,,,-0.04
36,,sd_na,1.06,0.94,1.03,0.96,,,-0.1
37,temp,mean_na,-0.05,0.08,-0.02,-0.01,,,0.04
38,,sd_na,1.05,1,0.98,0.95,,,-0.1
39,precip,mean_na,-0.25,-0.08,0.08,0.25,,,0.5
40,,sd_na,0.81,0.94,1.05,1.11,,,0.3
41,wc2.1_30s_elev,mean_na,0.64,0.08,-0.22,-0.5,,,-1.14
42,,sd_na,1.07,0.95,0.85,0.72,,,-0.35
43,M.q708_marketDistance,mean_na,0.23,-0.14,-0.1,0,,,-0.23
44,,sd_na,1.1,0.91,1.01,0.93,,,-0.17
45,C.q306_cropLarestAreaHA,mean_na,-0.29,-0.06,0,0.35,,,0.64
46,,sd_na,0.55,0.97,0.98,1.26,,,0.71
47,A.q112_fEdu_new_num,mean_na,-0.05,0,-0.05,0.09,,,0.14
48,,sd_na,0.94,1,0.99,1.05,,,0.11
49,Caste_marginalized,mean_na,0.11,-0.05,0.01,-0.07,,,-0.18
50,,sd_na,0.93,1.03,0.99,1.04,,,0.11
51,Plot_owned,mean_na,-0.08,-0.03,-0.01,0.12,,,0.2
52,,sd_na,1.06,1.02,1.01,0.9,,,-0.16
53,nitrogen_0.5cm,mean_na,0.43,-0.07,-0.26,-0.1,,,-0.53
54,,sd_na,0.94,1.08,0.97,0.86,,,-0.08
55,sand_0.5cm,mean_na,-0.51,-0.05,0.28,0.29,,,0.8
56,,sd_na,1.03,1,0.98,0.75,,,-0.28
57,soc_5.15cm,mean_na,-0.25,-0.07,0.07,0.25,,,0.5
58,,sd_na,1.13,1.1,0.88,0.79,,,-0.34
