, ,  ,"[0.916,1.22]","(1.22,1.34]","(1.34,1.43]","(1.43,1.71]",,,
1,,N obs,1845,1844,1844,1845,,,
2,,%,25.01,24.99,24.99,25.01,,,
3,Jan_tmin_18,mean_na,-0.09,0.08,-0.04,0.05,,,0.14
4,,sd_na,1.25,0.94,0.82,0.93,,,-0.32
5,Feb_tmin_18,mean_na,0.73,-0.08,-0.46,-0.2,,,-0.93
6,,sd_na,0.89,0.98,0.88,0.83,,,-0.06
7,Mar_tmin_18,mean_na,0.83,-0.11,-0.49,-0.23,,,-1.06
8,,sd_na,0.73,0.98,0.91,0.84,,,0.11
9,Apr_tmin_18,mean_na,0.78,-0.04,-0.49,-0.26,,,-1.04
10,,sd_na,0.77,1.12,0.87,0.7,,,-0.07
11,Jan_tmax_18,mean_na,-0.49,0.2,0.25,0.04,,,0.53
12,,sd_na,0.86,1.2,0.95,0.75,,,-0.11
13,Feb_tmax_18,mean_na,0.65,0.07,-0.4,-0.33,,,-0.98
14,,sd_na,0.93,0.97,0.91,0.83,,,-0.1
15,Mar_tmax_18,mean_na,0.97,0,-0.53,-0.45,,,-1.42
16,,sd_na,0.71,0.91,0.83,0.74,,,0.03
17,Apr_tmax_18,mean_na,0.99,-0.04,-0.55,-0.4,,,-1.39
18,,sd_na,0.47,0.98,0.89,0.77,,,0.3
19,I.q5505_weedSeverity_num,mean_na,-0.02,-0.03,0.03,0.02,,,0.04
20,,sd_na,1.11,1.03,0.95,0.9,,,-0.21
21,I.q5509_diseaseSeverity_num,mean_na,0.01,-0.06,-0.03,0.08,,,0.07
22,,sd_na,0.99,1.02,0.98,0.99,,,0
23,I.q5506_insectSeverity_num,mean_na,-0.06,-0.04,0.06,0.03,,,0.09
24,,sd_na,1,1.07,1.01,0.91,,,-0.09
25,Nperha,mean_na,-0.04,-0.09,0,0.13,,,0.17
26,,sd_na,0.86,0.94,1,1.16,,,0.3
27,P2O5perha,mean_na,-0.04,0.07,0.02,-0.04,,,0
28,,sd_na,1.01,0.98,0.98,1.02,,,0.01
29,variety_type_NMWV,mean_na,-0.18,0.07,0.11,0.01,,,0.19
30,,sd_na,0.99,1,0.99,1,,,0.01
31,Sowing_Date_Schedule_rating_num,mean_na,-0.54,0.01,0.22,0.3,,,0.84
32,,sd_na,0.95,0.96,0.91,0.97,,,0.02
33,A.q111_fGenderdum,mean_na,0.03,-0.01,-0.04,0.02,,,-0.01
34,,sd_na,1.08,0.98,0.86,1.06,,,-0.02
35,temp,mean_na,0.1,-0.05,-0.01,-0.04,,,-0.14
36,,sd_na,0.95,0.99,1.01,1.04,,,0.09
37,precip,mean_na,-0.15,0,0.04,0.11,,,0.26
38,,sd_na,0.84,1.03,1.06,1.04,,,0.2
39,wc2.1_30s_elev,mean_na,0.72,0.05,-0.27,-0.49,,,-1.21
40,,sd_na,1.14,0.97,0.73,0.61,,,-0.53
41,M.q708_marketDistance,mean_na,0.22,0.06,-0.01,-0.28,,,-0.5
42,,sd_na,1.08,1.13,0.98,0.68,,,-0.4
43,C.q306_cropLarestAreaHA,mean_na,0.05,0.02,0.01,-0.07,,,-0.12
44,,sd_na,1.17,0.91,0.9,1,,,-0.17
45,A.q112_fEdu_new_num,mean_na,0.07,0.08,-0.08,-0.08,,,-0.15
46,,sd_na,0.99,1.01,1,0.98,,,-0.01
47,Caste_marginalized,mean_na,-0.04,0.03,0.01,0,,,0.04
48,,sd_na,1.02,0.98,0.99,1,,,-0.02
49,Plot_owned,mean_na,0.05,0.06,0.02,-0.12,,,-0.17
50,,sd_na,0.96,0.95,0.99,1.08,,,0.12
51,nitrogen_0.5cm,mean_na,0,-0.13,-0.1,0.23,,,0.23
52,,sd_na,0.85,0.98,0.97,1.14,,,0.29
53,sand_0.5cm,mean_na,-0.82,0.11,0.44,0.27,,,1.09
54,,sd_na,0.78,0.97,0.95,0.78,,,0
55,soc_5.15cm,mean_na,-0.75,0.05,0.23,0.46,,,1.21
56,,sd_na,0.94,0.9,0.8,0.92,,,-0.02
